Date,Open,Close,High,Low,Volume,MA1,MA2
2017-01-12,20.28,20.209,20.28,20.2,2200,NaN,NaN
2017-01-13,20.18,20.21,20.24,20.15,30600,NaN,NaN
2017-01-17,20.15,20.05,20.15,20.03,53100,NaN,NaN
2017-01-18,20.08,20.02,20.08,20.01,25100,NaN,NaN
2017-01-19,20.11,20.07,20.11,20.03,72700,NaN,NaN
2017-01-20,20.15,20.08,20.15,20.07,12100,NaN,NaN
2017-01-23,20.16,20.126,20.16,20.05,40700,NaN,NaN
2017-01-24,20.33,20.43,20.45,20.31,17500,NaN,NaN
2017-01-25,20.52,20.54,21.16,20.49,26300,NaN,NaN
2017-01-26,20.59,20.53,20.62,20.52,66100,NaN,NaN
2017-01-27,20.37,20.37,20.37,20.37,38000,NaN,NaN
2017-01-30,21.26,20.14,21.26,20.07,11600,NaN,NaN
2017-01-31,20.11,20.14,20.14,20.05,42000,NaN,NaN
2017-02-01,20.16,20.19,20.19,20.11,45600,NaN,NaN
2017-02-02,20.19,20.22,20.26,20.19,24300,NaN,NaN
2017-02-03,20.16,20.26,21.22,20.16,56400,NaN,NaN
2017-02-06,20.25,20.2,20.25,20.19,35400,NaN,NaN
2017-02-07,20.16,20.11,20.17,20.05,47700,NaN,NaN
2017-02-08,20,20.19,20.19,20,17800,NaN,NaN
2017-02-09,20.26,20.36,20.37,20.26,68900,NaN,NaN
2017-02-10,20.42,20.5,20.53,20.42,29300,NaN,NaN
2017-02-13,20.58,20.565,20.61,20.55,31900,NaN,NaN
2017-02-14,20.55,20.57,20.59,20.44,26100,NaN,NaN
2017-02-15,20.72,20.85,20.88,20.7,29200,NaN,NaN
2017-02-16,20.84,20.79,20.84,20.77,22500,NaN,NaN
2017-02-17,20.69,20.72,20.73,20.681,10700,NaN,NaN
2017-02-21,20.904,20.91,20.916,20.88,26500,NaN,NaN
2017-02-22,20.83,20.88,20.892,20.821,23700,NaN,NaN
2017-02-23,20.94,20.8,20.94,20.751,26800,NaN,NaN
2017-02-24,20.62,20.66,20.67,20.57,22500,NaN,NaN
2017-02-27,20.67,20.74,20.76,20.67,21200,NaN,NaN
2017-02-28,21.2,20.57,21.2,20.539,11000,NaN,NaN
2017-03-01,20.84,20.96,20.96,20.84,21000,NaN,NaN
2017-03-02,20.91,20.83,20.91,20.81,46200,NaN,NaN
2017-03-03,20.81,20.83,20.83,20.77,25200,NaN,NaN
2017-03-06,20.79,20.77,20.79,20.704,17000,NaN,NaN
2017-03-07,20.71,20.684,20.72,20.68,19400,NaN,NaN
2017-03-08,20.76,20.64,20.76,20.64,24200,NaN,NaN
2017-03-09,20.73,20.61,20.73,20.6,14200,NaN,NaN
2017-03-10,20.78,20.74,20.87,20.665,32500,NaN,NaN
2017-03-13,20.96,20.91,20.96,20.89,12200,NaN,NaN
2017-03-14,20.8,20.85,20.865,20.74,11100,NaN,NaN
2017-03-15,20.95,21.156,21.156,20.94,19500,NaN,NaN
2017-03-16,21.27,21.152,21.28,21.13,11900,NaN,NaN
2017-03-17,21.13,21.1,21.14,21.09,17500,NaN,NaN
2017-03-20,21.12,21.16,21.17,21.1,15000,NaN,NaN
2017-03-21,21.24,20.72,21.24,20.714,16100,NaN,NaN
2017-03-22,20.64,20.73,20.75,20.58,15500,NaN,NaN
2017-03-23,20.73,20.74,20.81,20.73,16800,NaN,NaN
2017-03-24,20.77,20.797,20.825,20.77,9900,NaN,NaN
2017-03-27,20.65,20.74,20.75,20.515,12700,20.578,NaN
2017-03-28,20.8,20.941,20.95,20.8,10700,20.593,NaN
2017-03-29,20.99,21.13,21.13,20.99,13700,20.614,NaN
2017-03-30,21.11,21.04,21.13,21.04,10800,20.635,NaN
2017-03-31,21,21.08,21.08,21,19100,20.655,NaN
2017-04-03,21.13,21.07,21.13,20.874,12400,20.675,NaN
2017-04-04,20.939,21.01,21.02,20.92,22000,20.693,NaN
2017-04-05,21.19,20.94,21.19,20.94,16400,20.703,NaN
2017-04-06,20.92,21.06,21.086,20.92,18600,20.713,NaN
2017-04-07,21,20.97,21.03,20.94,10500,20.722,NaN
2017-04-10,21.16,21.12,21.19,21.08,17600,20.737,NaN
2017-04-11,21.06,21.09,21.115,20.95,11300,20.756,NaN
2017-04-12,21.15,21.02,21.15,21.02,13600,20.774,NaN
2017-04-13,21.07,20.89,21.07,20.86,29300,20.788,NaN
2017-04-17,21,21.09,21.09,20.93,6500,20.805,NaN
2017-04-18,21.09,20.95,21.09,20.914,18000,20.819,NaN
2017-04-19,21.06,20.906,21.12,20.9,14200,20.833,NaN
2017-04-20,20.98,21.156,21.16,20.98,15900,20.854,NaN
2017-04-21,21.2,21.13,21.2,21.105,16700,20.873,NaN
2017-04-24,21.36,21.363,21.39,21.343,4400,20.893,NaN
2017-04-25,21.53,21.64,21.66,21.53,17200,20.915,NaN
2017-04-26,21.56,21.54,21.61,21.526,35000,20.935,NaN
2017-04-27,21.54,21.5,21.54,21.418,14100,20.954,NaN
2017-04-28,21.69,21.52,21.69,21.51,29000,20.967,NaN
2017-05-01,21.61,21.68,21.699,21.57,6600,20.985,NaN
2017-05-02,21.83,21.65,21.83,21.63,21600,21.003,NaN
2017-05-03,21.713,21.73,21.74,21.673,16900,21.02,NaN
2017-05-04,21.74,21.67,21.74,21.587,13600,21.036,NaN
2017-05-05,21.775,21.92,21.92,21.775,13300,21.058,NaN
2017-05-08,22,22.03,22.03,21.93,16400,21.085,NaN
2017-05-09,22.16,22.16,22.2,22.13,39100,21.114,NaN
2017-05-10,22.191,22.34,22.39,22.191,10400,21.149,NaN
2017-05-11,22.26,22.34,22.37,22.16,24400,21.177,NaN
2017-05-12,22.42,22.48,22.48,22.398,13400,21.21,NaN
2017-05-15,22.59,22.52,22.62,22.51,11800,21.244,NaN
2017-05-16,22.61,22.66,22.68,22.58,20400,21.281,NaN
2017-05-17,22.47,22.09,22.47,22.09,30600,21.309,NaN
2017-05-18,22.01,22.04,22.136,21.77,33200,21.337,NaN
2017-05-19,22.31,22.49,22.52,22.31,16800,21.375,NaN
2017-05-22,22.61,22.64,22.68,22.59,18500,21.413,NaN
2017-05-23,22.73,22.64,22.73,22.593,14000,21.448,NaN
2017-05-24,22.65,22.57,22.65,22.496,29400,21.482,NaN
2017-05-25,22.69,22.55,22.71,22.53,27300,21.51,NaN
2017-05-26,22.63,22.58,22.63,22.54,18400,21.538,NaN
2017-05-30,22.51,22.33,22.51,22.33,7900,21.563,NaN
2017-05-31,22.24,22.134,22.24,22.05,19500,21.583,NaN
2017-06-01,22.36,22.46,22.47,22.21,31600,21.617,NaN
2017-06-02,22.51,22.49,22.51,22.44,17000,21.653,NaN
2017-06-05,22.48,22.49,22.53,22.45,22100,21.688,NaN
2017-06-06,22.5,22.47,22.53,22.399,19000,21.721,NaN
2017-06-07,22.6,22.58,22.62,22.5,26100,21.758,NaN
2017-06-08,22.72,22.57,22.72,22.52,61300,21.79,NaN
2017-06-09,22.7,22.36,22.705,22.295,20500,21.815,NaN
2017-06-12,22.31,22.23,22.37,22.19,17600,21.839,NaN
2017-06-13,22.47,22.4,22.47,22.35,13500,21.865,NaN
2017-06-14,22.51,22.23,22.51,22.21,16000,21.888,NaN
2017-06-15,22.05,22.01,22.05,21.897,12200,21.908,NaN
2017-06-16,22.11,22.17,22.17,22.107,27600,21.933,NaN
