No.,Symbol,Name,"<span class=""hidden sm:inline"">%</span> Weight",Shares
,D05.SI,DBS Group Holdings Ltd,7.64%,"645,436"
,WFC,Wells Fargo & Company,7.43%,"331,088"
,DANSKE.CO,Danske Bank A/S,6.01%,"764,429"
,HOLI,HollySys Automation Technologies Ltd.,5.02%,"613,671"
,BAER.SW,Julius Baer Gruppe AG,4.84%,"205,961"
,BRK.B,Berkshire Hathaway Inc.,4.84%,"34,582"
,CI,Cigna Corporation,4.31%,"26,955"
,005930.KS,Samsung Electronics Co Ltd,4.18%,"205,163"
,META,"Meta Platforms, Inc.",3.92%,"89,396"
,GOOG,"Alphabet, Inc.",3.70%,"89,928"
,JD,"JD.com, Inc.",3.60%,"180,533"
,1299.HK,AIA Group Ltd,3.56%,"896,690"
,TECK,Teck Resources Ltd.,3.30%,"217,276"
,COF,Capital One Financial Corporation,3.29%,"67,658"
,VTRS,"Viatris, Inc.",3.29%,"690,729"
,PRX.AS,Prosus NV Ordinary Shares - Class N,3.02%,"134,541"
,2318.HK,Ping An Insurance (Group) Co. of China Ltd Class H,2.93%,"1,448,275"
,AMZN,"Amazon.com, Inc.",2.85%,"64,811"
,3690.HK,Meituan Class B,2.54%,"277,840"
,BABA,Alibaba Group Holding Ltd,2.15%,"66,796"
,NTB,The Bank of N.T. Butterfield & Son Ltd.,1.89%,"122,875"
,AMAT,"Applied Materials, Inc.",1.81%,"42,600"
,INTC,Intel Corporation,1.72%,"127,502"
,DAR,Darling Ingredients Inc.,1.58%,"41,098"
,FWONA,Liberty Media Formula One Group,1.44%,"59,489"
,OC,Owens Corning Inc,1.44%,"35,784"
,DHER.DE,Delivery Hero SE,1.18%,"75,018"
,081660.KS,Fila Holdings,1.14%,"100,216"
,CPNG,"Coupang, Inc.",1.10%,"129,922"
,FWONK,Liberty Formula One Group C,0.99%,"36,887"
,NPN.JO,Naspers Ltd Class N,0.98%,"18,140"
,YOU,"Clear Secure, Inc.",0.63%,"50,075"
,IAC,IAC Inc Ordinary Shares - New,0.62%,"27,846"
,NOAH,Noah Holdings Limited,0.58%,"90,461"
,IQ,"iQIYI, Inc.",0.23%,"216,157"
,MTRO.L,Metro Bank PLC,0.21%,"452,989"
,VMEO,"Vimeo, Inc.",0.06%,"29,628"
